date_time,city,intensity_drought
2009-01-01,Atakpame,0
2009-01-02,Atakpame,0
2009-01-03,Atakpame,0
2009-01-04,Atakpame,0
2009-01-05,Atakpame,0
2009-01-06,Atakpame,0
2009-01-07,Atakpame,0
2009-01-08,Atakpame,0
2009-01-09,Atakpame,0
2009-01-10,Atakpame,0
2009-01-11,Atakpame,0
2009-01-12,Atakpame,0
2009-01-13,Atakpame,0
2009-01-14,Atakpame,0
2009-01-15,Atakpame,0
2009-01-16,Atakpame,0
2009-01-17,Atakpame,0
2009-01-18,Atakpame,0
2009-01-19,Atakpame,0
2009-01-20,Atakpame,0
2009-01-21,Atakpame,0
2009-01-22,Atakpame,0
2009-01-23,Atakpame,0
2009-01-24,Atakpame,0
2009-01-25,Atakpame,0
2009-01-26,Atakpame,0
2009-01-27,Atakpame,0
2009-01-28,Atakpame,0
2009-01-29,Atakpame,0
2009-01-30,Atakpame,0
2009-01-31,Atakpame,0
2009-02-01,Atakpame,0
2009-02-02,Atakpame,0
2009-02-03,Atakpame,0
2009-02-04,Atakpame,0
2009-02-05,Atakpame,0
2009-02-06,Atakpame,0
2009-02-07,Atakpame,0
2009-02-08,Atakpame,0
2009-02-09,Atakpame,0
2009-02-10,Atakpame,0
2009-02-11,Atakpame,0
2009-02-12,Atakpame,0
2009-02-13,Atakpame,0
2009-02-14,Atakpame,0
2009-02-15,Atakpame,0
2009-02-16,Atakpame,0
2009-02-17,Atakpame,0
2009-02-18,Atakpame,0
2009-02-19,Atakpame,0
2009-02-20,Atakpame,0
2009-02-21,Atakpame,0
2009-02-22,Atakpame,0
2009-02-23,Atakpame,0
2009-02-24,Atakpame,0
2009-02-25,Atakpame,0
2009-02-26,Atakpame,0
2009-02-27,Atakpame,0
2009-02-28,Atakpame,0
2009-03-01,Atakpame,0
2009-03-02,Atakpame,0
2009-03-03,Atakpame,0
2009-03-04,Atakpame,0
2009-03-05,Atakpame,0
2009-03-06,Atakpame,0
2009-03-07,Atakpame,0
2009-03-08,Atakpame,0
2009-03-09,Atakpame,0
2009-03-10,Atakpame,0
2009-03-11,Atakpame,0
2009-03-12,Atakpame,0
2009-03-13,Atakpame,0
2009-03-14,Atakpame,0
2009-03-15,Atakpame,0
2009-03-16,Atakpame,0
2009-03-17,Atakpame,0
2009-03-18,Atakpame,0
2009-03-19,Atakpame,0
2009-03-20,Atakpame,0
2009-03-21,Atakpame,0
2009-03-22,Atakpame,0
2009-03-23,Atakpame,0
2009-03-24,Atakpame,0
2009-03-25,Atakpame,0
2009-03-26,Atakpame,0
2009-03-27,Atakpame,0
2009-03-28,Atakpame,0
2009-03-29,Atakpame,0
2009-03-30,Atakpame,0
2009-03-31,Atakpame,0
2009-04-01,Atakpame,0
2009-04-02,Atakpame,0
2009-04-03,Atakpame,0
2009-04-04,Atakpame,0
2009-04-05,Atakpame,0
2009-04-06,Atakpame,0
2009-04-07,Atakpame,0
2009-04-08,Atakpame,0
2009-04-09,Atakpame,0
2009-04-10,Atakpame,0
2009-04-11,Atakpame,0
2009-04-12,Atakpame,0
2009-04-13,Atakpame,0
2009-04-14,Atakpame,0
2009-04-15,Atakpame,0
2009-04-16,Atakpame,0
2009-04-17,Atakpame,0
2009-04-18,Atakpame,0
2009-04-19,Atakpame,0
2009-04-20,Atakpame,0
2009-04-21,Atakpame,0
2009-04-22,Atakpame,0
2009-04-23,Atakpame,0
2009-04-24,Atakpame,0
2009-04-25,Atakpame,0
2009-04-26,Atakpame,0
2009-04-27,Atakpame,0
2009-04-28,Atakpame,0
2009-04-29,Atakpame,0
2009-04-30,Atakpame,0
2009-05-01,Atakpame,0
2009-05-02,Atakpame,0
2009-05-03,Atakpame,0
2009-05-04,Atakpame,0
2009-05-05,Atakpame,0
2009-05-06,Atakpame,0
2009-05-07,Atakpame,0
2009-05-08,Atakpame,0
2009-05-09,Atakpame,0
2009-05-10,Atakpame,0
2009-05-11,Atakpame,0
2009-05-12,Atakpame,0
2009-05-13,Atakpame,0
2009-05-14,Atakpame,0
2009-05-15,Atakpame,0
2009-05-16,Atakpame,0
2009-05-17,Atakpame,0
2009-05-18,Atakpame,0
2009-05-19,Atakpame,0
2009-05-20,Atakpame,0
2009-05-21,Atakpame,0
2009-05-22,Atakpame,0
2009-05-23,Atakpame,0
2009-05-24,Atakpame,0
2009-05-25,Atakpame,0
2009-05-26,Atakpame,0
2009-05-27,Atakpame,0
2009-05-28,Atakpame,0
2009-05-29,Atakpame,0
2009-05-30,Atakpame,0
2009-05-31,Atakpame,0
2009-06-01,Atakpame,0
2009-06-02,Atakpame,0
2009-06-03,Atakpame,0
2009-06-04,Atakpame,0
2009-06-05,Atakpame,0
2009-06-06,Atakpame,0
2009-06-07,Atakpame,0
2009-06-08,Atakpame,0
2009-06-09,Atakpame,0
2009-06-10,Atakpame,0
2009-06-11,Atakpame,0
2009-06-12,Atakpame,0
2009-06-13,Atakpame,0
2009-06-14,Atakpame,0
2009-06-15,Atakpame,0
2009-06-16,Atakpame,0
2009-06-17,Atakpame,0
2009-06-18,Atakpame,0
2009-06-19,Atakpame,0
2009-06-20,Atakpame,0
2009-06-21,Atakpame,0
2009-06-22,Atakpame,0
2009-06-23,Atakpame,0
2009-06-24,Atakpame,0
2009-06-25,Atakpame,0
2009-06-26,Atakpame,0
2009-06-27,Atakpame,0
2009-06-28,Atakpame,0
2009-06-29,Atakpame,0
2009-06-30,Atakpame,0
2009-07-01,Atakpame,0
2009-07-02,Atakpame,0
2009-07-03,Atakpame,0
2009-07-04,Atakpame,0
2009-07-05,Atakpame,0
2009-07-06,Atakpame,0
2009-07-07,Atakpame,0
2009-07-08,Atakpame,0
2009-07-09,Atakpame,0
2009-07-10,Atakpame,0
2009-07-11,Atakpame,0
2009-07-12,Atakpame,0
2009-07-13,Atakpame,0
2009-07-14,Atakpame,0
2009-07-15,Atakpame,0
2009-07-16,Atakpame,0
2009-07-17,Atakpame,0
2009-07-18,Atakpame,0
2009-07-19,Atakpame,0
2009-07-20,Atakpame,0
2009-07-21,Atakpame,0
2009-07-22,Atakpame,0
2009-07-23,Atakpame,0
2009-07-24,Atakpame,0
2009-07-25,Atakpame,0
2009-07-26,Atakpame,0
2009-07-27,Atakpame,0
2009-07-28,Atakpame,0
2009-07-29,Atakpame,0
2009-07-30,Atakpame,0
2009-07-31,Atakpame,0
2009-08-01,Atakpame,0
2009-08-02,Atakpame,0
2009-08-03,Atakpame,0
2009-08-04,Atakpame,0
2009-08-05,Atakpame,0
2009-08-06,Atakpame,0
2009-08-07,Atakpame,0
2009-08-08,Atakpame,0
2009-08-09,Atakpame,0
2009-08-10,Atakpame,0
2009-08-11,Atakpame,0
2009-08-12,Atakpame,0
2009-08-13,Atakpame,0
2009-08-14,Atakpame,0
2009-08-15,Atakpame,0
2009-08-16,Atakpame,0
2009-08-17,Atakpame,0
2009-08-18,Atakpame,0
2009-08-19,Atakpame,0
2009-08-20,Atakpame,0
2009-08-21,Atakpame,0
2009-08-22,Atakpame,0
2009-08-23,Atakpame,0
2009-08-24,Atakpame,0
2009-08-25,Atakpame,0
2009-08-26,Atakpame,0
2009-08-27,Atakpame,0
2009-08-28,Atakpame,0
2009-08-29,Atakpame,0
2009-08-30,Atakpame,0
2009-08-31,Atakpame,0
2009-09-01,Atakpame,0
2009-09-02,Atakpame,0
2009-09-03,Atakpame,0
2009-09-04,Atakpame,0
2009-09-05,Atakpame,0
2009-09-06,Atakpame,0
2009-09-07,Atakpame,0
2009-09-08,Atakpame,0
2009-09-09,Atakpame,0
2009-09-10,Atakpame,0
2009-09-11,Atakpame,0
2009-09-12,Atakpame,0
2009-09-13,Atakpame,0
2009-09-14,Atakpame,0
2009-09-15,Atakpame,0
2009-09-16,Atakpame,0
2009-09-17,Atakpame,0
2009-09-18,Atakpame,0
2009-09-19,Atakpame,0
2009-09-20,Atakpame,0
2009-09-21,Atakpame,0
2009-09-22,Atakpame,0
2009-09-23,Atakpame,0
2009-09-24,Atakpame,0
2009-09-25,Atakpame,0
2009-09-26,Atakpame,0
2009-09-27,Atakpame,0
2009-09-28,Atakpame,0
2009-09-29,Atakpame,0
2009-09-30,Atakpame,0
2009-10-01,Atakpame,0
2009-10-02,Atakpame,0
2009-10-03,Atakpame,0
2009-10-04,Atakpame,0
2009-10-05,Atakpame,0
2009-10-06,Atakpame,0
2009-10-07,Atakpame,0
2009-10-08,Atakpame,0
